"gene","SE_Intercept","SE_batch_B_vs_A","SE_batch_C_vs_A","SE_condition_treated_vs_control"
"gene_98",0.157275948518675,0.193303754950396,0.191869390194867,0.157188141547357
"gene_99",0.194639999751008,0.240577438132435,0.240447030003805,0.196740537496869
"gene_100",0.401574015448636,0.485508789780451,0.492123752912108,0.39840345510935
"gene_101",0.239096545730813,0.292008202469234,0.293015239242136,0.238852665779563
"gene_102",0.0806443187341928,0.0987842009490334,0.0992860734848585,0.08093447436378
"gene_103",0.0734558857876001,0.0900137209001468,0.0899376743456739,0.0734685466975561
"gene_104",0.107329246934924,0.131003576319726,0.131537069639845,0.107165824634267
"gene_105",0.199562339847421,0.243742565052573,0.245247422808589,0.199359191629254
"gene_106",0.118837242758689,0.145838126147009,0.14528806494663,0.118854090690742
"gene_107",0.098836701460985,0.121074685030861,0.12110601405083,0.0988909917780387
"gene_108",0.0939223342961453,0.114825978504726,0.115119351761834,0.093876492272766
"gene_109",0.148921483009814,0.181229980508823,0.18294794127757,0.148806122848573
"gene_110",0.0992578036191454,0.120898413602277,0.122593550654025,0.0994334401228618
"gene_111",0.118086308537647,0.14559104954362,0.143791728532146,0.118101169838376
"gene_112",0.0869730635350189,0.107253505525233,0.106901238293387,0.0874787545470641
"gene_113",0.127326995466284,0.154877005767086,0.155318430504937,0.126664935470611
"gene_114",0.087638752478,0.107380365840919,0.10738946319553,0.0876866489868609
"gene_115",0.0871597429836678,0.10663477368709,0.106823139177278,0.0871251776462028
"gene_116",0.0817179302854251,0.0999821706407849,0.100001142890713,0.0816002992966513
"gene_117",0.16269238495306,0.200497036225198,0.199312134458966,0.163192576354703
"gene_118",0.0782805672195445,0.0963011868361451,0.0963536348117356,0.0787196745248557
"gene_119",0.119189841676498,0.145503524172418,0.146732286291191,0.119430356462046
"gene_120",0.159624823332892,0.196114404004675,0.194609704073589,0.159353578697195
"gene_121",0.185003035492237,0.222377068003208,0.225956209017236,0.18225627952694
"gene_122",0.125640447600483,0.152766895422659,0.15398602903246,0.12497521180366
"gene_123",0.0969676477965621,0.118655087333063,0.118841583713232,0.0969596622062947
"gene_124",0.15235259273208,0.186179907936404,0.185059509710016,0.151116908525239
"gene_125",0.0898772852531871,0.110150168501182,0.110068601418797,0.0899057851537334
"gene_126",0.0973326779269594,0.119318769233429,0.119143999649623,0.0973610691360823
"gene_127",0.0872953956663835,0.106895806542028,0.106932159687876,0.0872939349915668
"gene_128",0.0766341515888348,0.0938247935573053,0.0938608968431985,0.0766173422513098
"gene_129",0.130821327576616,0.15966158091096,0.159283204570907,0.130078200296792
"gene_130",0.182062015211607,0.222070997816507,0.224258783152455,0.18230130527884
"gene_131",0.0950942412734474,0.11825630590243,0.117858835288709,0.0966998763402758
"gene_132",0.076840738787638,0.0941283979158066,0.0940953323717682,0.0768467104401476
"gene_133",0.0882729075730443,0.108258207439916,0.107997998509638,0.0882724493377511
"gene_134",0.0821301402026452,0.100595590529044,0.100623523306626,0.0821507125325919
"gene_135",0.238691981737399,0.290884712580496,0.295841084915815,0.239611993479358
"gene_136",0.0975409628709372,0.11890327340395,0.119827558664493,0.097415230314323
"gene_137",0.103876464558755,0.127162345769587,0.126970249603116,0.103724867394472
"gene_138",0.108794918315036,0.132076225608331,0.131547983032234,0.107561581749946
"gene_139",0.0884522833182184,0.108283240912584,0.108313250872311,0.0884326682678626
"gene_140",0.0846189376076851,0.103489536629908,0.103723871613746,0.0845723674215645
"gene_141",0.173329044530994,0.2129232450894,0.211192654945886,0.173028912841485
"gene_142",0.143124440732284,0.173704523689451,0.172805875313801,0.141140352346713
"gene_143",0.112469694793952,0.137807330813213,0.137484371764116,0.112365806265094
"gene_144",0.0890947459520886,0.109115356994186,0.109121345122612,0.0890956862729086
"gene_145",0.102804236583831,0.125709908268891,0.125510414403477,0.10259689716476
"gene_146",0.47155173510966,0.572995391624187,0.568636082191974,0.466009126434236
"gene_147",0.126097570483947,0.153171064659295,0.154945300042311,0.12564179265949
"gene_148",0.357982354333181,0.436946292217027,0.444837474615073,0.360848315924836
"gene_149",0.119746077707077,0.146056850002558,0.146349594461614,0.119168860091924
"gene_150",0.402584335192855,0.493723671652479,0.493966980333947,0.401044249314648
"gene_151",0.084118684318934,0.103057445520784,0.102977483494504,0.0841112725207945
"gene_152",0.135062661269369,0.164772370040603,0.165593500022446,0.134673411903937
"gene_153",0.105943176964638,0.128954741782175,0.130573266462931,0.105846126380482
"gene_154",0.365658472068035,0.446067791215065,0.436848070714252,0.361072015386627
"gene_155",0.114326601204336,0.1406010062569,0.140293889429068,0.114849253182254
"gene_156",0.127533463661553,0.155308542151641,0.156749420022992,0.127298194469786
"gene_157",0.117238725023081,0.143543831796708,0.143266149986386,0.116983789584271
"gene_158",0.186184827200094,0.229175133380578,0.225666837321691,0.185590428651548
"gene_159",0.0857044872345287,0.105022287901966,0.104967541115442,0.0857280374896296
"gene_160",0.0950681891811698,0.116394771026167,0.116500475573184,0.0950899307983072
"gene_161",0.0893314673178406,0.109278781457618,0.109485550739373,0.0892808895878535
"gene_162",0.127649422986872,0.155624617399707,0.157221050253218,0.127800803811112
"gene_163",0.0829390911701614,0.101532317481489,0.101601540328774,0.0829150354648945
"gene_164",0.0947952566371853,0.115853819286684,0.116103963689641,0.0946034575055271
"gene_165",0.0991453654655444,0.12166994211741,0.121790564694554,0.0994942757607371
"gene_166",0.0893796432606568,0.10978252031314,0.109751048625587,0.0897023937746713
"gene_167",0.205979049753605,0.249535787470297,0.252909105658596,0.204663986439078
"gene_168",0.425315966339477,0.518126333112739,0.54717853566886,0.43679614642498
"gene_169",0.0848891898620641,0.103734753240429,0.104057471280829,0.084803952807147
"gene_170",0.0863867007454295,0.105803808838034,0.105786951882595,0.086381953324874
"gene_171",0.146780828742223,0.178681769902036,0.179330239086731,0.145807379954173
"gene_172",0.344995040319683,0.405561901908931,0.407954637922161,0.33398903243693
"gene_173",0.24103540421513,0.293512744455722,0.294551644687692,0.239918532727389
"gene_174",0.0975712725468037,0.119250737067547,0.119311850170158,0.097275969889462
"gene_175",0.110065696922877,0.13403174733632,0.134566291554652,0.10951788712329
"gene_176",0.117203782235068,0.143753421622602,0.142678412767409,0.116836204276572
"gene_177",0.101950168222649,0.125422363213533,0.12533005178708,0.102377876380583
"gene_178",0.133465169561527,0.163838058007183,0.163189254658907,0.133554808932105
"gene_179",0.0686692741509848,0.084133622970505,0.0840457022133406,0.0686414201345263
"gene_180",0.0866483236079845,0.106054163756545,0.105947914053104,0.0865006033730079
"gene_181",0.11496846154606,0.140225167291418,0.14113788405223,0.114812036603197
"gene_182",0.238733804535843,0.287937609950095,0.288562435400108,0.235261463586203
"gene_183",0.196744648343897,0.240315652746058,0.241547713516457,0.196475942885984
"gene_184",0.122226541371332,0.151927161672267,0.14936676250549,0.123224759742073
"gene_185",0.198874825223352,0.242876789493319,0.243975722841058,0.198850625329963
"gene_186",0.102918637677104,0.125722366272514,0.12627302749903,0.102881230183432
"gene_187",0.106556397938135,0.130488937860573,0.130477895678081,0.106473084593543
"gene_188",0.114580929855136,0.141346736283002,0.139517707108616,0.114788506459687
"gene_189",0.106267592209398,0.129863662481705,0.130969801608686,0.106656482669005
"gene_190",0.0977581764690481,0.119530042717353,0.119719670649978,0.0976163101655428
"gene_191",0.0858419395705388,0.105108103346209,0.105072913585747,0.0858098331656954
"gene_192",0.0918672808447456,0.112507162545239,0.112530417644377,0.0918725369860847
"gene_193",0.25993681434679,0.310609624605511,0.320353373295558,0.256438180187275
"gene_194",0.0863635719603302,0.104294161474494,0.104760337430181,0.0853043018612006
"gene_195",0.107641608962341,0.131106258927804,0.132405052228257,0.107555030944155
"gene_196",0.0936683238006484,0.114623628320443,0.114963534683748,0.0937761892073935
"gene_197",0.402887494101729,0.487005342745219,0.497101867999423,0.401839973710962
"gene_198",0.272347325709685,0.333952401270976,0.33327494289077,0.271808687976238
"gene_199",0.150019691549824,0.185111724837851,0.182626739387296,0.150101691413545
"gene_200",0.376647277533193,0.457639339557941,0.461606685875978,0.375507900525106
"gene_201",0.174949078506578,0.215586335995552,0.215829188230116,0.176346578128134
"gene_202",0.128600269570749,0.1579008958751,0.157240694920209,0.128598687280621
"gene_203",0.113250226362518,0.138182230455316,0.138762718662223,0.11300847718274
"gene_204",0.341996760222188,0.406185109401582,0.412107534375326,0.328928974757119
"gene_205",0.0914408489192293,0.111919133019597,0.111912257206518,0.0913541869534537
"gene_206",0.0791681034189396,0.0967949965460033,0.0971575749101559,0.0791988573223438
"gene_207",0.321111999465238,0.390749835579325,0.392475095245184,0.319016988207154
"gene_208",0.208220330501659,0.260075525185845,0.253706205597003,0.209651320367295
"gene_209",0.123279654464984,0.150749408595503,0.150799670571319,0.122978172848711
"gene_210",0.0865258437233866,0.105912236021961,0.105987128253135,0.0865022596512485
"gene_211",0.306788304317555,0.375204588182044,0.372899063971187,0.303954634668291
"gene_212",0.291702235365188,0.352510810376471,0.35511655811567,0.287589455808871
"gene_213",0.079440631313955,0.0971687564444711,0.0969577495534855,0.0791727126771478
"gene_214",0.111763749938376,0.137296680945222,0.137006832935998,0.111963095111197
"gene_215",0.0965153494197316,0.117454541267414,0.118356665271159,0.0961666254034993
"gene_216",0.115917825179494,0.141611719296712,0.142565956744263,0.115939392488955
"gene_217",0.44125294881226,0.540957432324968,0.539128687266802,0.440176515185875
"gene_218",0.217148059107528,0.269045473542851,0.269249042660505,0.220372226791385
"gene_219",0.128399986986845,0.158108856059504,0.159466158414487,0.129919689675747
"gene_220",0.372198886158996,0.460092987101076,0.453839618125988,0.373551619640808
"gene_221",0.188917721296449,0.229398867042292,0.229474043623236,0.186184087534004
"gene_222",0.0927386015569529,0.113844942149218,0.113297165638838,0.0927412217211888
"gene_223",0.113025034718683,0.138534862318949,0.138566819459977,0.113152963357943
"gene_224",0.111397124852457,0.136365277220324,0.136214513073987,0.111190895770861
"gene_225",0.110066634551536,0.134024977256637,0.135136580884269,0.109905052241521
"gene_226",0.180694134648325,0.220473600479384,0.22111457356995,0.180015553944292
"gene_227",0.0927925852744646,0.113668001665479,0.113625471141604,0.0927905368259136
"gene_228",0.106711555600762,0.130620930588878,0.130311896813825,0.106368266154899
"gene_229",0.0935998908710298,0.1148747005066,0.114729268221479,0.0937951537134294
"gene_230",0.0998652727390219,0.1221036580192,0.122243426094165,0.0996978867939084
"gene_231",0.0868433155042156,0.106048728673768,0.106564485919296,0.086800979113227
"gene_232",0.0800796195675936,0.0980793980179306,0.0980406787046035,0.0800670230814668
"gene_233",0.231444405591246,0.27973663262087,0.281718362416559,0.229334502596744
"gene_234",0.117829915439851,0.147069343619037,0.147557984985549,0.120923225792281
"gene_235",0.0930545937687476,0.113015579490347,0.113890668851289,0.0925608752063249
"gene_236",0.108234671282105,0.132674555984523,0.132741581210096,0.108247494246468
"gene_237",0.140415342065206,0.171453537802144,0.172103736838797,0.140227758781237
"gene_238",0.146528720107066,0.180642255513312,0.181032074175495,0.147938648649706
"gene_239",0.0985673333728842,0.120566824240832,0.120745521428946,0.0984364269942953
"gene_240",0.100265491491481,0.122773199268435,0.122812791127906,0.100256957748851
"gene_241",0.165948518768839,0.204597688043615,0.205454419770746,0.167814846286085
"gene_242",0.162776608215336,0.198508299662326,0.198780963873603,0.162063315032144
"gene_243",0.111782757396349,0.136077083630305,0.137508577301825,0.111748562270472
"gene_244",0.111845373044989,0.135959932120255,0.137136702782957,0.111321271982341
"gene_245",0.180053173787472,0.221403770039018,0.225369398646884,0.183206013109227
"gene_246",0.0935484614887029,0.114622795107252,0.114443689975535,0.0935042857992688
"gene_247",0.454510233630299,0.54477703413803,0.548734510788446,0.445727328101531
"gene_248",0.10943088390583,0.134058512105615,0.136568631563948,0.110721660413202
"gene_249",0.349231019291174,0.425225251110493,0.428027186192849,0.348718374730628
"gene_250",0.404478564155129,0.491839788814492,0.500268678802655,0.405295948468295
"gene_251",0.090159150234145,0.110395227446204,0.110341495819101,0.0900991928095648
"gene_252",0.108443302962606,0.132794106567867,0.132309428204956,0.108192989175892
"gene_253",0.0827811107051302,0.101372283683006,0.101335490402024,0.0827568361793877
"gene_254",0.478082413108956,0.573320628355119,0.577182766223499,0.464595810245953
"gene_255",0.346835970462062,0.419254806615812,0.414377522474758,0.339043355875377
"gene_256",0.182172016613719,0.221183865440576,0.223729713827827,0.18133440451733
"gene_257",0.0810307691734818,0.0990783930898584,0.0996139814341074,0.0811406039718372
"gene_258",0.126769699717934,0.155221510721649,0.155552797960429,0.126893553461471
"gene_259",0.109311403973733,0.133875438597299,0.134128568672041,0.109497811920975
"gene_260",0.106946588425187,0.13117938990767,0.13120954755312,0.107284117057004
"gene_261",0.179814666727907,0.219191671078666,0.221345714192683,0.179907048950536
"gene_262",0.0871698171260546,0.106682276960737,0.106845246064996,0.0871584537230087
"gene_263",0.0980403439266344,0.120391089755283,0.12012846994404,0.0982546805681986
"gene_264",0.0990865158124068,0.121374436386102,0.121350630553054,0.0991120674626771
"gene_265",0.149705025647929,0.183459881100824,0.185043826272562,0.150736608336148
"gene_266",0.249529371422603,0.302692146394548,0.301443570722418,0.24583272692062
"gene_267",0.161446024212417,0.195197915694394,0.197327839986121,0.159684614821905
"gene_268",0.0781007834612887,0.0956903726307265,0.0956377346535898,0.0781104646208567
"gene_269",0.163516070936681,0.200096350627119,0.199462886110816,0.162991408788997
"gene_270",0.181592921226975,0.223628453847348,0.224340530458635,0.182955129100325
"gene_271",0.245806415710469,0.30586100898137,0.300521583238115,0.24801420154514
"gene_272",0.426512315838762,0.514111581250163,0.52373849807077,0.422748903706315
"gene_273",0.108770345435285,0.132311486450199,0.132271123761118,0.107782746828104
"gene_274",0.137230417667229,0.169070883235387,0.169461074774543,0.1385275861814
"gene_275",0.0827594263591224,0.101239090097709,0.101994254406208,0.0829952632642806
"gene_276",0.080818482744813,0.0988228975126627,0.0989614681194803,0.0807263541455009
"gene_277",0.350002864237544,0.437973438114295,0.44285351680728,0.362660545722231
"gene_278",0.0877158356261647,0.10735148162323,0.107428879273697,0.0876513762993098
"gene_279",0.298431759406205,0.368039393277652,0.36374285922283,0.299633764456548
"gene_280",0.0906219741356525,0.110697780977327,0.110938946783728,0.0903809924365066
"gene_281",0.104764381854329,0.128065410087546,0.128710617507511,0.104840720087876
"gene_282",0.118029464330307,0.142861990345737,0.143447209981932,0.116471246900304
"gene_283",0.165856256659344,0.201980552107962,0.20474144771844,0.166080842931311
"gene_284",0.383972420705446,0.471475026320413,0.470866120116501,0.383528645867489
"gene_285",0.0902355839680423,0.110288761241044,0.110885003818413,0.0903192613772787
"gene_286",0.0854411102116259,0.104637592167811,0.104644296606079,0.0854357465974333
"gene_287",0.153454613071127,0.187270074083819,0.187540822496336,0.152946364788761
"gene_288",0.0843395637801307,0.10329684435,0.10331111705817,0.0843232358003553
"gene_289",0.327304677325941,0.395590981885788,0.407679605337534,0.327144760787377
"gene_290",0.139703873255663,0.170085068811306,0.171511825075749,0.139310089038581
"gene_291",0.102635369516216,0.125488223248831,0.125725815739883,0.102568295775629
"gene_292",0.355492250358703,0.432657808122799,0.432881825971035,0.351545093244892
"gene_293",0.103784454481764,0.126937201396257,0.12699044623758,0.103620691283585
"gene_294",0.0968774479605192,0.118720531265041,0.118658080775643,0.0969294827063998
"gene_295",0.172995526847123,0.209826568405188,0.210741701194552,0.171404079861788
"gene_296",0.10293300604725,0.125503039107138,0.126312491490438,0.10274503113914
"gene_297",0.151563686015513,0.189991183586491,0.185735447117869,0.153863962718791
"gene_298",0.124894145512035,0.157455229006179,0.154187649594447,0.127519223080401
"gene_299",0.167874032482014,0.204240482722154,0.204531998129378,0.166634386308475
"gene_300",0.0908577678718091,0.111231043597354,0.111316576520638,0.0908516219999673
"gene_301",0.128562533366975,0.156085139052791,0.159750572997624,0.128921543114765
"gene_302",0.18888659943592,0.230266456741906,0.232314310091531,0.18860861851352
"gene_303",0.107518114624007,0.132404241776946,0.131213313152219,0.107735689362011
"gene_304",0.157164690365216,0.192152471499182,0.191279918624525,0.156194665414735
"gene_305",0.167406427299035,0.204518741551411,0.205077140063575,0.167415107409134
"gene_306",0.142870999600889,0.174645689817825,0.175115287916898,0.142830253295445
"gene_307",0.101722722326489,0.124428743553887,0.124271828400633,0.101396080653244
"gene_308",0.247365486354848,0.303018156042589,0.304023320275088,0.248329635679215
"gene_309",0.0885022635383452,0.108341433189917,0.10846533881336,0.0885138401999208
"gene_310",0.0783827664990523,0.0959740083622745,0.0959294168882844,0.0783340564199315
"gene_311",0.19799601750891,0.242415795834848,0.242690416904271,0.198041644637462
"gene_312",0.0979817134376307,0.120021219725801,0.119734396139314,0.0978331587118206
"gene_313",0.111752841379902,0.136414633804691,0.135838764353266,0.110969946979833
"gene_314",0.129246494996161,0.159194735206581,0.158486678011829,0.129803539693828
"gene_315",0.0696813562853641,0.0853356321702134,0.0852994661713972,0.0696556248167379
"gene_316",0.0890935636412893,0.10935409453395,0.109049410013694,0.0892469759251555
"gene_317",0.204942451443099,0.253287549804936,0.250551974208121,0.205952293443411
"gene_318",0.0885013616039459,0.108476398011743,0.108457060140087,0.0885956176756243
"gene_319",0.151588780235144,0.185325314109832,0.185876780874916,0.15165164204136
"gene_320",0.0895716403648262,0.109990421531957,0.109649834196441,0.0897121690433247
"gene_321",0.220982586862931,0.270256794374555,0.268145770835278,0.219129134403245
"gene_322",0.203768811229889,0.247508920603062,0.252680850816809,0.204427140286313
"gene_323",0.112317736134503,0.137780438816514,0.138310891691926,0.112915969772575
"gene_324",0.11539218904523,0.141006708814242,0.142343318895654,0.115774615387382
"gene_325",0.452322661810345,0.545758203693101,0.552474894684431,0.446540916069674
"gene_326",0.13922628178745,0.172184655245755,0.169494835057715,0.139519775271168
"gene_327",0.0990720436206094,0.121361301740976,0.121574370463412,0.0992146091058109
"gene_328",0.108522693648394,0.132536993196839,0.132710067604685,0.108369740509622
"gene_329",0.0920094383976008,0.112754413542622,0.112610023647589,0.0919983302515562
"gene_330",0.0945288757310155,0.115754390476967,0.116036015079757,0.094642739637242
"gene_331",0.0978513784275119,0.119447786072799,0.119300430790016,0.0974646522232543
"gene_332",0.089625454296744,0.109789942199599,0.109806603966937,0.0896481764178103
"gene_333",0.273799265458927,0.33629206506255,0.336440393504225,0.274752580009581
"gene_334",0.14725424579985,0.180099455611521,0.181460759557923,0.147745068504548
"gene_335",0.0842204130957529,0.103122377412977,0.103101632643033,0.0841815299838726
"gene_336",0.0868828115810228,0.106328137982122,0.106508918113587,0.0869063545701865
"gene_337",0.310240995162864,0.376187868489042,0.375184876770808,0.303900573041496
"gene_338",0.456354067759998,0.555612038982563,0.568750760456589,0.460730355763221
"gene_339",0.0740170320775512,0.0907240615937371,0.0906557252678083,0.0740689407323507
"gene_340",0.083278005978945,0.101970277930993,0.101984645234181,0.0832517128447824
"gene_341",0.21203425362224,0.257445138250433,0.255968369072049,0.208790525896125
"gene_342",0.156268982143568,0.190758730293602,0.189617417974031,0.154757993647869
"gene_343",0.235360500449741,0.286673754300017,0.291218267627827,0.236201215168384
"gene_344",0.0989562432427445,0.120957100447328,0.121537136195051,0.099134224004859
"gene_345",0.107096783998981,0.130853414667534,0.131368841085986,0.107023886538376
"gene_346",0.149395569809503,0.180671067861997,0.18378027765516,0.148027215795589
"gene_347",0.0897196643686502,0.109898332512405,0.109887659700791,0.0897319877136158
"gene_348",0.0804045978563626,0.0983462273444846,0.0985050495669139,0.0803610304698787
"gene_349",0.107034148880296,0.131767813210648,0.130826988742706,0.107251956892858
"gene_350",0.0992576956971821,0.121555502964908,0.121586005514785,0.0992826773316302
"gene_351",0.101645468607793,0.124708319171956,0.124344076797535,0.101700423454326
"gene_352",0.0863111510234739,0.105583668155566,0.105493907131735,0.0861313220078229
"gene_353",0.404174962229362,0.490639134537551,0.488927100376212,0.398605297975728
"gene_354",0.138828720484468,0.169731751529509,0.171622592244772,0.139543486933722
"gene_355",0.081213075513777,0.0994713417918848,0.0994801820987323,0.0812146334754967
"gene_356",0.122238492056291,0.149656553080961,0.149873143146765,0.122345125087966
"gene_357",0.140658673852206,0.17183117745423,0.17263183338053,0.14064837768856
